date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:36	21408/21408	---M--	200	added ('OK')	binary/octet-stream	etag:%225d6f50ed2dde0e4ad455448f896c09f0%22	https://msrit.edu/fonts/gotham/Gotham-Bold_6.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Bold_6.otf	(from https://msrit.edu/style.css)
16:17:37	31140/31140	---M--	200	added ('OK')	binary/octet-stream	etag:%2228e5e75d42819683d19234a8640b4de6%22	https://msrit.edu/fonts/gotham/Gotham-BoldItalic.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-BoldItalic.otf	(from https://msrit.edu/style.css)
16:17:39	158964/158964	---M--	200	added ('OK')	binary/octet-stream	etag:%229019ab71e2d2d6cc3c9f4140cb27a618%22	https://msrit.edu/fonts/gotham/Gotham-Book_1.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Book_1.otf	(from https://msrit.edu/style.css)
16:17:40	133304/133304	---M--	200	added ('OK')	binary/octet-stream	etag:%22befdfda70624c396169873b05de57f8a%22	https://msrit.edu/fonts/gotham/Gotham-BookIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-BookIta_0.otf	(from https://msrit.edu/style.css)
16:17:41	131812/131812	---M--	200	added ('OK')	binary/octet-stream	etag:%22d859fee2eba0e67c75c4c92e719d0630%22	https://msrit.edu/fonts/gotham/Gotham-LightIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-LightIta_0.otf	(from https://msrit.edu/style.css)
16:17:41	66488/66488	---M--	200	added ('OK')	binary/octet-stream	etag:%220b28710a605aed91211bd25a19081bae%22	https://msrit.edu/fonts/gotham/Gotham-Medium.ttf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Medium.ttf	(from https://msrit.edu/style.css)
16:17:42	21684/21684	---M--	200	added ('OK')	binary/octet-stream	etag:%22c9f7f5fbf27d0712643cf5d0738ae903%22	https://msrit.edu/fonts/gotham/Gotham-Medium_5.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Medium_5.otf	(from https://msrit.edu/style.css)
16:17:44	133788/133788	---M--	200	added ('OK')	binary/octet-stream	etag:%22653969a51632a4df33358a39d7012f79%22	https://msrit.edu/fonts/gotham/Gotham-MediumIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-MediumIta_0.otf	(from https://msrit.edu/style.css)
16:17:45	135444/135444	---M--	200	added ('OK')	binary/octet-stream	etag:%222bf15a1686c7a1bf7b577337a07d7049%22	https://msrit.edu/fonts/gotham/Gotham-ThinIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-ThinIta_0.otf	(from https://msrit.edu/style.css)
16:17:46	133680/133680	---M--	200	added ('OK')	binary/octet-stream	etag:%22b8d72cb0ef934ba1fe847c692d9dfed1%22	https://msrit.edu/fonts/gotham/Gotham-Ultra_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Ultra_0.otf	(from https://msrit.edu/style.css)
16:17:47	128584/128584	---M--	200	added ('OK')	binary/octet-stream	etag:%22ac2944015a17576924af7c56d88751cb%22	https://msrit.edu/fonts/gotham/Gotham-UltraIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-UltraIta_0.otf	(from https://msrit.edu/style.css)
16:17:48	132120/132120	---M--	200	added ('OK')	binary/octet-stream	etag:%2286a6894da889a3db781418529403290f%22	https://msrit.edu/fonts/gotham/Gotham-XLight_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-XLight_0.otf	(from https://msrit.edu/style.css)
16:17:48	32096/32096	---M--	200	added ('OK')	binary/octet-stream	etag:%229ac5799e5aafee5c9b82a03284e6cd14%22	https://msrit.edu/fonts/gotham/Gotham-XLightItalic_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-XLightItalic_0.otf	(from https://msrit.edu/style.css)
16:17:50	137592/137592	---M--	200	added ('OK')	binary/octet-stream	etag:%22a3b0d611359e6fa8356cd88aa9035268%22	https://msrit.edu/fonts/gotham/Gotham-XLightIta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-XLightIta_0.otf	(from https://msrit.edu/style.css)
16:17:50	367/367	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:29%20GMT	https://msrit.edu/images/background/bg-pattern.jpg	/root/websites/msrit/msrit.edu/images/background/bg-pattern.jpg	(from https://msrit.edu/style.css)
16:17:51	368/368	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:29%20GMT	https://msrit.edu/images/background/tab-full-bg.jpg	/root/websites/msrit/msrit.edu/images/background/tab-full-bg.jpg	(from https://msrit.edu/style.css)
16:17:52	376/376	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:30%20GMT	https://msrit.edu/images/background/tab-transparent-bg1.jpg	/root/websites/msrit/msrit.edu/images/background/tab-transparent-bg1.jpg	(from https://msrit.edu/style.css)
16:17:53	371/371	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:32%20GMT	https://msrit.edu/images/background/divider-shadow.png	/root/websites/msrit/msrit.edu/images/background/divider-shadow.png	(from https://msrit.edu/style.css)
16:17:54	2552/2552	---M--	200	added ('OK')	image/jpeg	etag:%22571a84b429796c9cbeecf36e200f8218%22	https://msrit.edu/img/ramaiah-header-astric.jpg	/root/websites/msrit/msrit.edu/img/ramaiah-header-astric.jpg	(from https://msrit.edu/style.css)
16:17:55	353/353	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:33%20GMT	https://msrit.edu/images/icons/1.jpg	/root/websites/msrit/msrit.edu/images/icons/1.jpg	(from https://msrit.edu/style.css)
16:17:56	353/353	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:35%20GMT	https://msrit.edu/images/icons/2.jpg	/root/websites/msrit/msrit.edu/images/icons/2.jpg	(from https://msrit.edu/style.css)
16:17:57	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:36%20GMT	https://msrit.edu/images/ramaiah-homepage-research-d.png	/root/websites/msrit/msrit.edu/images/ramaiah-homepage-research-d.png	(from https://msrit.edu/style.css)
16:17:58	55971/55971	---M--	200	added ('OK')	image/png	etag:%22fcbf845500988927a4783812a1fc374f%22	https://msrit.edu/img/ram.png	/root/websites/msrit/msrit.edu/img/ram.png	(from https://msrit.edu/style.css)
16:17:59	380/380	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:37%20GMT	https://msrit.edu/css/MSRITdata/graphics/cursors_move_html5.cur	/root/websites/msrit/msrit.edu/css/MSRITdata/graphics/cursors_move_html5.cur	(from https://msrit.edu/css/modified.css)
16:18:00	380/380	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:38%20GMT	https://msrit.edu/css/MSRITdata/graphics/cursors_drag_html5.cur	/root/websites/msrit/msrit.edu/css/MSRITdata/graphics/cursors_drag_html5.cur	(from https://msrit.edu/css/modified.css)
16:18:01	366/366	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:39%20GMT	https://msrit.edu/css/images/animated-overlay.gif	/root/websites/msrit/msrit.edu/css/images/animated-overlay.gif	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:02	384/384	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:40%20GMT	https://msrit.edu/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:03	378/378	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:41%20GMT	https://msrit.edu/css/images/ui-bg_glass_100_fdf5ce_1x400.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_glass_100_fdf5ce_1x400.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:04	377/377	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:43%20GMT	https://msrit.edu/css/images/ui-bg_glass_65_ffffff_1x400.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_glass_65_ffffff_1x400.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:05	386/386	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:44%20GMT	https://msrit.edu/css/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:06	387/387	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:45%20GMT	https://msrit.edu/css/images/ui-bg_diagonals-thick_18_b81900_40x40.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_diagonals-thick_18_b81900_40x40.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:07	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:45%20GMT	https://msrit.edu/css/images/ui-icons_222222_256x240.png	/root/websites/msrit/msrit.edu/css/images/ui-icons_222222_256x240.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:08	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:46%20GMT	https://msrit.edu/css/images/ui-icons_ffffff_256x240.png	/root/websites/msrit/msrit.edu/css/images/ui-icons_ffffff_256x240.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:09	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:48%20GMT	https://msrit.edu/css/images/ui-icons_ef8c08_256x240.png	/root/websites/msrit/msrit.edu/css/images/ui-icons_ef8c08_256x240.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:10	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:48%20GMT	https://msrit.edu/css/images/ui-icons_228ef1_256x240.png	/root/websites/msrit/msrit.edu/css/images/ui-icons_228ef1_256x240.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:11	373/373	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:49%20GMT	https://msrit.edu/css/images/ui-icons_ffd27a_256x240.png	/root/websites/msrit/msrit.edu/css/images/ui-icons_ffd27a_256x240.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:12	387/387	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:50%20GMT	https://msrit.edu/css/images/ui-bg_diagonals-thick_20_666666_40x40.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_diagonals-thick_20_666666_40x40.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
16:18:13	377/377	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:52%20GMT	https://msrit.edu/css/images/ui-bg_flat_10_000000_40x100.png	/root/websites/msrit/msrit.edu/css/images/ui-bg_flat_10_000000_40x100.png	(from https://msrit.edu/css/jquery-ui-1.10.3.custom.css)
